Latin Word,POS,English Meaning,Urdu Meaning
curo,Verb,arrange,بندوبست
cuso,Verb,coin,سکہ
cyio,Verb,cyio,cyio
damo,Verb,I will give,میں دوں گا۔
daps,Verb,sacrificial feast,قربانی کی دعوت
dato,Verb,be in habit of giving,دینے کی عادت ہو
dedo,Verb,give up,چھوڑ دو
deeo,Verb,I miss,مجھے یاد آتی ہے۔
dego,Verb,spend,خرچ
demo,Verb,take,لے لو
depo,Verb,deposit,جمع
deso,Verb,be wanting,خواہش مند ہونا
deto,Verb,given,دیا
dico,Verb,dedicate,وقف
dido,Verb,distribute,تقسیم
dilo,Verb,say it,یہ کہو
diss,Verb,diss,diss
dito,Verb,enrich,افزودہ
dius,Adjective,divine,الہی
divo,Verb,diva,diva
dolo,Verb,hew,کاٹنا
domo,Verb,subdue,زیر کرنا
dono,Verb,present,موجود
doto,Verb,provide with a dowry,جہیز فراہم کریں
dryo,Verb,dry,خشک
duco,Verb,lead,لیڈ
duro,Verb,harden,سخت
duus,Verb,two,دو
ecco,Verb,behold,دیکھو
ecfo,Verb,demarcate in words areas,الفاظ کے علاقوں میں حد بندی کریں۔
ecus,Adjective,horse,گھوڑا
edos,Verb,we eat,ہم کھاتے ہیں
effo,Verb,demarcate in words areas,الفاظ کے علاقوں میں حد بندی کریں۔
egeo,Verb,need (w,ضرورت (w
ehes,Adjective,you eat,تم کھاتے ہو
eles,Adjective,ate,کھایا
elor,Verb,elor,elor
eluo,Verb,wash clean,صاف دھونا
emir,Adjective,wonder greatly at,پر بہت حیرت ہے
emys,Verb,emys,ایمیز
eoad,Verb,eoad,eoad
eous,Verb,eastern,مشرقی
erro,Verb,wander,گھومنا
eruo,Verb,pluck,توڑنا
esco,Verb,come out,باہر آو
esom,Verb,I am,میں ہوں
etus,Verb,food,کھانا
etux,Adjective,yet,ابھی تک
evax,Adjective,escape,فرار
eveo,Verb,I wake up,میں جاگتا ہوں۔
exeo,Verb,come,آو
exim,Verb,thence,وہاں سے
expo,Verb,expo,ایکسپو
exso,Verb,Exo,Exo
exto,Verb,stand out or forth,باہر یا آگے کھڑے ہو جاؤ
exul,Adjective,exile (M,جلاوطنی (ایم
exuo,Verb,pull off,کھینچنا
ezno,Verb,no,نہیں
fabo,Verb,beans,پھلیاں
fano,Verb,dedicate,وقف
faux,Adjective,pharynx (usu pl.),حلق (usu pl.)
felo,Verb,suck (milk) (from),چوسنا (دودھ) (سے)
fero,Verb,bring,لانا
feto,Verb,breed,نسل
fico,Verb,fig tree,انجیر کا درخت
fido,Verb,trust (in),بھروسہ (میں)
figo,Verb,fasten,جکڑنا
fleo,Verb,breathe,سانس لینا
fluo,Verb,flow,بہاؤ
fodo,Verb,I dig,میں کھودتا ہوں۔
frax,Adjective,broken,ٹوٹا ہوا
frio,Verb,rub,رگڑنا
fruo,Verb,enjoy (proceeds,لطف اٹھائیں (آمدنی
fuco,Verb,color,رنگ
fugo,Verb,put to flight,پرواز میں ڈالو
fumo,Verb,smoke,دھواں
furo,Verb,steal,چوری
gabo,Verb,I will take,میں لے جاؤں گا۔
gelo,Verb,cause to freeze,منجمد کرنے کا سبب بنتا ہے
gemo,Verb,moan,کراہ
geno,Verb,give birth to,کو جنم دینا
gero,Verb,bear,ریچھ
gigo,Verb,Giga,گیگا
gluo,Verb,glue,گلو
gnor,Verb,don't know,نہیں جانتے
grom,Adjective,instrument for taking bearings to fix lines of orientation,واقفیت کی لائنوں کو ٹھیک کرنے کے لئے بیرنگ لینے کا آلہ
gyro,Verb,go around,ارد گرد جاؤ
halo,Verb,emit (vapor,بخارات کا اخراج
heco,Verb,here,یہاں
heus,Adjective,hey!,ارے!
hexa,Adjective,hex,ہیکس
hilo,Verb,thread,دھاگہ
humo,Adjective,inter,انٹر
iana,Adjective,Jana,جانا
icio,Verb,hit,مارو
icon,Verb,giving an exact image (of work of art),ایک درست تصویر دینا (فن کے کام کی)
icus,Adjective,icus,icus
idus,Adjective,that one,وہ ایک
ilis,Adjective,to them,ان کو
immo,Verb,no indeed (contradiction),واقعی نہیں (تضاد)
indo,Verb,put in or on,ڈالو یا پر
ineo,Verb,enter,داخل کریں
info,Verb,info,معلومات
inno,Verb,swim or float (in or on),تیرنا یا تیرنا (اندر یا آن)
inpo,Verb,put,ڈال
inri,Verb,I.N.R.I. (Iesus Nazarenus Rex Iudaeorum),I.N.R.I
inso,Verb,be in,میں ہونا
inst,Adjective,pursue,تعاقب
into,Verb,into,میں
iris,Verb,hedgehog,ہیج ہاگ
isao,Verb,isao,isao
islo,Verb,that,کہ
itum,Verb,so,تو
iuba,Verb,bow,جھکنا
iubo,Verb,I bid,میں بولی۔
iugo,Verb,yoke,جوا
iuro,Verb,I swear,میں قسم کھاتا ہوں۔
iuvo,Verb,I help,میں مدد کرتا ہوں۔
joco,Verb,joke,مذاق
jubo,Verb,order,حکم
jugo,Verb,marry,شادی
juro,Verb,swear,قسم
juvo,Verb,help,مدد
kalo,Verb,announce,اعلان
labo,Verb,totter,ٹٹر
laeo,Verb,I hurt,مجھے چوٹ لگی
lago,Verb,lake,جھیل
lama,Verb,lama,لاما
lano,Verb,wool,اون
lauo,Verb,I wash,میں دھوتا ہوں۔
lavo,Verb,wash,دھونا
laxe,Adjective,wide,چوڑا
laxo,Verb,loosen,ڈھیلا کرنا
ledo,Verb,hit,مارو
lego,Verb,read,پڑھیں
lemo,Verb,lemo,لیمو
leto,Verb,kill,مار ڈالو
levo,Adjective,lift,اٹھانا
libo,Verb,nibble,نبل
lico,Verb,it is permitted,اس کی اجازت ہے
ligo,Verb,bind,باندھنا
limo,Verb,file,فائل
lini,Adjective,smear,سمیر
lino,Verb,smear,سمیر
lito,Verb,obtain,حاصل کریں
livo,Verb,be livid or discolored,بے رنگ یا بے رنگ ہونا
lobo,Verb,I love,مجھے پیار ہے
loco,Verb,place,جگہ
lubo,Verb,it pleases,یہ خوش ہوتا ہے
luco,Verb,shine,چمک
ludo,Verb,play,کھیلیں
luno,Verb,make crescent-shaped,ہلال کی شکل بنائیں
luro,Verb,lure,لالچ
luxo,Verb,sprain (limb),موچ (اعضاء)
mago,Verb,magician,جادوگر
malo,Verb,prefer,ترجیح دیتے ہیں
mano,Verb,flow,بہاؤ
maro,Verb,Maro,مارو
meio,Verb,go along,ساتھ جاؤ
melo,Verb,melon (esp. apple-shaped),خربوزہ (مثال کے طور پر سیب کی شکل کا)
memp,Verb,member,رکن
mero,Verb,earn,کمائیں
meso,Verb,meso,میسو
meto,Verb,reap,کاٹنا
meus,Adjective,my (personal possession),میرا (ذاتی ملکیت)
mico,Verb,vibrate,کمپن
mini,Verb,native cinnabar,مقامی cinnabar
mino,Verb,drive (animals),ڈرائیو (جانور)
miro,Verb,be amazed,حیران رہو
molo,Verb,grind,پیسنا
moro,Verb,delay,تاخیر
moto,Verb,set in motion,تحریک میں مقرر
muto,Verb,move,منتقل
myxa,Adjective,mix,مکس
nato,Verb,swim,تیرنا
navo,Verb,do with zeal,جوش کے ساتھ کرو
nebo,Verb,nebo,نیبو
neco,Verb,kill,مار ڈالو
nego,Verb,deny,انکار
neon,Verb,neon,نیین
nepa,Verb,nephew,بھتیجا
nesc,Verb,I don't know,میں نہیں جانتا
neus,Adjective,snow,برف
nexo,Verb,tie together,ایک ساتھ باندھنا
nito,Verb,shine,چمک
nixo,Verb,support oneself,خود کو سہارا دینا
nodo,Verb,tie in a knot,ایک گرہ میں باندھنا
nolo,Verb,be unwilling,ناخوش ہونا
nona,Adjective,ninth,نویں
noto,Verb,observe,مشاہدہ
novo,Verb,make new,نیا بنانا
nubo,Verb,marry,شادی
nudo,Verb,lay bare,ننگے لیٹنا
nuga,Verb,toy,کھلونا
nugo,Verb,play the fool,بیوقوف کھیلو
nuto,Verb,waver,ڈگمگانا
obdo,Verb,put before,پہلے رکھو
obeo,Verb,go to meet,ملنے جاؤ
obto,Verb,obto,obto
occa,Verb,occassion,موقع
occo,Verb,harrow (ground),ہیرو (زمین)
ocis,Adjective,swift,تیز
octo,Verb,eight,آٹھ
offo,Verb,off,بند
oini,Adjective,oini,oini
oleo,Verb,smell of,کی بو
olti,Adjective,olti,olti
opio,Verb,opium,افیون
oppo,Verb,oppo,مخالف
opto,Verb,choose,منتخب کریں
orbo,Verb,bereave (of parents,سوگوار (والدین کا
orio,Verb,beg,بھیک مانگنا
orno,Verb,equip,لیس کرنا
oroo,Verb,I pray,میں دعا کرتا ہوں۔
oror,Verb,I fear,مجھے ڈر لگتا ہے۔
orto,Verb,procreate,پیدا کرنا
orus,Adjective,gold,سونا
osus,Verb,dare,ہمت
otio,Verb,be at leisure,آرام سے رہو
otus,Adjective,out,باہر
paco,Verb,pacify,پرسکون کرنا
palo,Verb,wander abroad stray,بھٹک کر بیرون ملک گھومنا
papo,Verb,papa,پاپا
paro,Verb,prepare,تیار کریں
pato,Verb,stand open,کھلے کھڑے ہو جاؤ
pedo,Verb,I walk,میں چلتا ہوں۔
pero,Verb,thick boot of raw hide,کچی چھپائی کے موٹے بوٹ
peto,Verb,attack,حملہ
phio,Verb,son,بیٹا
pico,Verb,smear with pitch,پچ کے ساتھ سمیر
pigo,Verb,be weakened (Douay),کمزور ہونا (Douay)
pilo,Verb,grow hairy,بال بڑھنا
pino,Verb,pine tree,دیودار کا درخت
pium,Adjective,conscientious,باضمیر
pius,Adjective,conscientious,باضمیر
pleo,Verb,multiply by X (only with numerical prefix),X سے ضرب کریں (صرف عددی سابقہ ​​کے ساتھ)
pluo,Verb,rain,بارش
plus,Adjective,of the common people,عام لوگوں کی
pono,Verb,put,ڈال
poto,Verb,drink,پینا
pros,Verb,be useful,مفید ہو
prox,Adjective,near,قریب
pudo,Verb,be ashamed,شرم کرو
puer,Adjective,girl,لڑکی
puls,Verb,stroke,اسٹروک
puto,Verb,think,سوچو
pyho,Verb,pyho,pyho
queo,Verb,be able,قابل ہو
quio,Verb,because,کیونکہ
raco,Verb,raccoon,ایک قسم کا جانور
rado,Verb,shave,مونڈنا
reco,Verb,bring back,واپس لائیں
rego,Verb,rule,حکمرانی
relo,Verb,relo,relo
reor,Verb,I think,مجھے لگتا ہے
repo,Verb,creep,رینگنا
reso,Verb,return,واپسی
reto,Verb,return,واپسی
reus,Adjective,liable to (penalty of),ذمہ دار (جرمانہ)
revo,Verb,I return,میں لوٹتا ہوں۔
ribo,Verb,a thief,ایک چور
rico,Verb,rico,ریکو
rigo,Verb,moisten,گیلا کرنا
rimo,Verb,probe,تحقیقات
rixo,Verb,quarrel violently,شدید جھگڑا
rodo,Verb,gnaw,کاٹنا
rogo,Verb,ask,پوچھنا
roro,Verb,cause dew,اوس کا سبب
roso,Verb,rose,گلاب
roto,Verb,whirl round,چکر
ruco,Verb,ruco,روکو
rudo,Verb,bellow,نیچے
rugo,Verb,wrinkle,شیکن
ruro,Verb,live in the country,ملک میں رہتے ہیں
sago,Verb,sago,ساگو
salo,Verb,salt,نمک
sano,Verb,cure,علاج
save,Adjective,save,محفوظ کریں
scio,Verb,know,جانتے ہیں
scus,Verb,shield,ڈھال
seco,Verb,cut,کاٹنا
sedo,Verb,sit,بیٹھنا
seet,Adjective,see,دیکھیں
seps,Adjective,fence,باڑ
serm,Verb,speech,تقریر
sero,Verb,wreath,چادر
sido,Verb,settle,آباد
simo,Verb,I am,میں ہوں
sino,Verb,allow,اجازت دیں
sipo,Verb,throw,پھینکنا
sodo,Verb,soda,سوڈا
solo,Verb,solace,سکون
sono,Verb,make a noise,شور کرو
spuo,Verb,spit,تھوکنا
stlo,Verb,stlo,stlo
stro,Verb,stro,stro
stus,Adjective,fatigue,تھکاوٹ
subo,Verb,be in heat,گرمی میں ہونا
sudo,Verb,sweat,پسینہ
sueo,Verb,sew together,ایک ساتھ سلائی
sugo,Verb,suck,چوسنا
suio,Verb,sew together,ایک ساتھ سلائی
sumo,Verb,take up,اٹھانا
supo,Verb,throw,پھینکنا
supp,Verb,head-downwards,سر نیچے کی طرف
suus,Adjective,his,اس کا
syce,Verb,syce,سائس
tago,Verb,hide,چھپائیں
tama,Verb,tama,تما
taro,Verb,hit,مارو
taxo,Verb,value,قدر
tego,Verb,cover,احاطہ
telo,Verb,customs officer,کسٹم افسر
temo,Verb,pole,قطب
tero,Verb,rub,رگڑنا
texo,Verb,weave,بنائی
tono,Verb,thunder,گرج
trio,Verb,oxen (pl.) used for plowing,ہل چلانے کے لیے استعمال ہونے والے بیل (pl.)
truo,Verb,I'm digging,میں کھود رہا ہوں۔
trux,Verb,wild,جنگلی
tubo,Verb,tube,ٹیوب
tueo,Verb,see,دیکھیں
tuio,Verb,see,دیکھیں
tute,Verb,safe,محفوظ
tuto,Verb,guard,گارڈ
tuus,Adjective,your (sing.),آپ (گائیں)
uaco,Verb,blank,خالی
uado,Verb,ford,فورڈ
uago,Verb,I am empty,میں خالی ہوں۔
udus,Adjective,wet,گیلے
ueto,Verb,wet,گیلے
uior,Adjective,live,زندہ
uiuo,Adjective,i live,میں رہتا ہوں
umeo,Verb,be wet,گیلا ہونا
umus,Verb,the nose,ناک
unco,Verb,unco,unco
undo,Verb,surge,اضافہ
ungo,Verb,anoint,مسح کرنا
unus,Adjective,alone,اکیلے
uoco,Verb,I call,میں فون کرتا ہوں۔
uolo,Verb,I want,میں چاہتا ہوں
urco,Verb,urk,یورک
urus,Adjective,work,کام
uslm,Adjective,uslm,uslm
usus,Verb,use,استعمال کریں
utis,Verb,you use,آپ استعمال کرتے ہیں
utor,Verb,I use,میں استعمال کرتا ہوں۔
vaco,Verb,be empty,خالی ہو
vado,Verb,go,جاؤ
vago,Verb,wander,گھومنا
vauo,Verb,wow,واہ
veco,Verb,I call,میں فون کرتا ہوں۔
veho,Verb,bear,ریچھ
velo,Verb,veil,پردہ
veno,Verb,hunt,شکار
verr,Adjective,sweep clean,صاف جھاڑو
veto,Verb,forbid,منع کرنا
vexo,Verb,shake,ہلانا
vieo,Verb,plait,plait
viso,Verb,visit,دورہ
vito,Verb,avoid,بچنا
vivo,Verb,be alive,زندہ رہو
voco,Verb,call,کال
volo,Verb,wish,خواہش
vomo,Verb,be sick,بیمار ہونا
voro,Verb,swallow,نگل
voto,Verb,forbid,منع کرنا
waco,Verb,waco,واکو
zaeo,Verb,zaeo,zaeo
zelo,Verb,love ardently,پرجوش محبت
zygo,Verb,zygo,زیگو
zzzo,Verb,it pleases,یہ خوش ہوتا ہے
abaeo,Verb,I'm going away,میں دور جا رہا ہوں۔
abano,Verb,I go away,میں چلا جاتا ہوں۔
abbia,Adjective,abbia,ابیہ
abico,Verb,abico,ابیکو
abigo,Verb,I drive away,میں بھگا دیتا ہوں۔
abito,Verb,away,دور
abluo,Verb,I wash,میں دھوتا ہوں۔
abnuo,Verb,once again,ایک بار پھر
absto,Verb,stay away,دور رہو
abujo,Verb,abujo,ابوجو
abuto,Verb,abuse,زیادتی
acceo,Verb,I come,میں آتا ہوں۔
accua,Adjective,water,پانی
aceus,Adjective,sharp,تیز
achar,Verb,achar,achar
acteo,Verb,I am active,میں متحرک ہوں۔
actuo,Verb,act,عمل
acueo,Verb,sharpen,تیز کرنا
acuto,Verb,sharp,تیز
adaer,Verb,be present,حاضر ہونا
adamo,Verb,Adam,آدم
adaro,Verb,I will go,میں جاؤں گا۔
adbio,Verb,I will add,میں شامل کروں گا۔
adedo,Verb,I will come,میں آؤں گا۔
adflo,Verb,adflo,adflo
adfuo,Verb,I am present,میں حاضر ہوں۔
adhoc,Adjective,adhoc,ایڈہاک
adigo,Verb,I add,میں شامل کرتا ہوں۔
adimo,Verb,I'm lost,میں کھو گیا ہوں۔
adipo,Verb,adipose,ایڈیپوز
adips,Verb,fat,چربی
adito,Verb,added,شامل کیا
adjuo,Verb,I help,میں مدد کرتا ہوں۔
adluo,Verb,add,شامل کریں
admeo,Verb,I admit,میں مانتا ہوں۔
adnuo,Verb,again,دوبارہ
adolo,Verb,I adore,میں پسند کرتا ہوں۔
adoro,Verb,I adore,میں پسند کرتا ہوں۔
adruo,Verb,I'm sorry,مجھے افسوس ہے
adsco,Verb,I come,میں آتا ہوں۔
adsto,Verb,stand by,کھڑے ہو جاؤ
adsum,Verb,I'm here,میں یہاں ہوں
adsuo,Verb,apply,لاگو کریں
adtuo,Verb,add,شامل کریں
adulo,Verb,old man,بوڑھا آدمی
aduno,Verb,I gather,میں جمع کرتا ہوں۔
aduro,Verb,I burn,میں جلتا ہوں۔
aecus,Adjective,equal,برابر
aeger,Adjective,patient,مریض
aenus,Adjective,age,عمر
aequo,Verb,equally,یکساں طور پر
aetio,Verb,aetio,aetio
aetne,Adjective,really,واقعی
afflo,Verb,affl,افل
affuo,Verb,I am drowning,میں ڈوب رہا ہوں۔
afluo,Verb,I flow,میں بہہ رہا ہوں۔
agago,Verb,I am doing,میں کر رہا ہوں۔
agero,Verb,I am doing,میں کر رہا ہوں۔
ageto,Verb,I will do it,میں یہ کروں گا۔
agino,Verb,I do,میں کرتا ہوں۔
agito,Verb,driven,کارفرما
agnus,Adjective,the lamb,بھیڑ کا بچہ
aivom,Verb,I have,میرے پاس ہے۔
alaio,Verb,alio,علیو
alaso,Verb,winged,پروں والا
albeo,Verb,white,سفید
albor,Verb,white,سفید
albus,Adjective,white,سفید
alear,Verb,gamble,جوا
algeo,Verb,I'm sorry,مجھے افسوس ہے
allec,Verb,and,اور
alluo,Adjective,I allude,میں اشارہ کرتا ہوں۔
almus,Adjective,alms,بھیک
alnus,Adjective,elm,ایل ایم
alsus,Adjective,high,اعلی
alter,Adjective,the other,دوسرا
altus,Adjective,high,اعلی
alveo,Verb,channel,چینل
ambeo,Verb,I walk,میں چلتا ہوں۔
amens,Adjective,crazy,پاگل
amico,Verb,friend,دوست
ammeo,Verb,I admire,میں تعریف کرتا ہوں۔
ample,Verb,embrace,گلے لگانا
amplo,Verb,wide,چوڑا
amylo,Verb,starch,نشاستہ
anclo,Verb,anchor,لنگر
andto,Verb,and to,اور کرنے کے لئے
animo,Verb,in mind,ذہن میں
annuo,Verb,yearly,سالانہ
ansus,Adjective,loop,لوپ
antoo,Verb,yes,ہاں
antus,Adjective,before,پہلے
anulo,Verb,ring,انگوٹھی
anxio,Verb,anxious,فکر مند
anxus,Adjective,anxious,فکر مند
apago,Verb,turn off,بند کر دیں
apina,Adjective,monkey,بندر
apius,Verb,parsley,اجمودا
appro,Verb,approx,تقریبا
apsto,Verb,away,دور
apter,Adjective,close,بند
aptus,Adjective,suitable,مناسب
aquor,Verb,water,پانی
arabs,Adjective,arabs,عرب
arceo,Verb,citadel,قلعہ
arcto,Verb,closely,قریب سے
arcuo,Verb,bow,جھکنا
ardeo,Verb,I'm burning,میں جل رہا ہوں۔
ardus,Adjective,hot,گرم
areno,Verb,arena,میدان
areus,Verb,area,علاقہ
arguo,Verb,I argue,میں بحث کرتا ہوں۔
armeo,Verb,army,فوج
arnus,Adjective,harness,استعمال
arquo,Verb,with a bow,ایک دخش کے ساتھ
arrho,Verb,arr,arr
arruo,Verb,rush,جلدی
artab,Adjective,soft,نرم
artro,Verb,joint,مشترکہ
artus,Adjective,framework,فریم ورک
arvus,Adjective,fields,کھیتوں
ascio,Verb,I know,میں جانتا ہوں
asina,Adjective,donkey,گدھا
asino,Verb,donkey,گدھا
asper,Adjective,rough,کھردرا
aspuo,Verb,I spit,میں نے تھوک دیا۔
assuo,Verb,I swear,میں قسم کھاتا ہوں۔
assus,Verb,roasted,بھنا ہوا
ather,Adjective,ather,ather
atrax,Adjective,draw,ڈرا
atror,Verb,black,سیاہ
atrox,Adjective,terrible,خوفناک
attuo,Verb,now,اب
auceo,Verb,I increase,میں اضافہ کرتا ہوں۔
aucto,Verb,increased,اضافہ ہوا
aucus,Adjective,the ear,کان
audax,Adjective,bold,بولڈ
audeo,Verb,I dare,میں ہمت کرتا ہوں۔
audio,Verb,I hear,میں سنتا ہوں۔
augeo,Verb,I increase,میں اضافہ کرتا ہوں۔
ausos,Verb,daring,ہمت
ausus,Verb,dare,ہمت
aveho,Verb,I drive,میں چلاتا ہوں۔
avena,Adjective,oats,جئی
avius,Adjective,bird,پرندہ
avoco,Verb,I swear,میں قسم کھاتا ہوں۔
avolo,Verb,I fly away,میں اڑ گیا۔
bacco,Verb,berry,بیری
baeto,Verb,eat,کھاؤ
bagus,Adjective,bagu,بگو
ballo,Verb,dance,رقص
barbo,Verb,beard,داڑھی
basio,Verb,basis,بنیاد
batna,Adjective,batna,بٹنا
batto,Verb,beat,مارو
batum,Verb,beat,مارو
batuo,Verb,I beat,میں نے مارا۔
baubo,Verb,baby boy,بچہ لڑکا
beber,Adjective,to drink,پینے کے لیے
bello,Verb,war,جنگ
berus,Adjective,drunk,نشے میں
bibax,Adjective,bibax,bibax
bideo,Verb,see,دیکھیں
bifax,Adjective,bifax,بائفیکس
bifer,Adjective,bifer,bifer
bigus,Adjective,big,بڑا
bilbo,Verb,bilbo,بلبو
bilio,Adjective,a billion,ایک ارب
bilis,Adjective,bile,پت
bilix,Adjective,quick,جلدی
bimar,Verb,bimar,بیمار
bimus,Adjective,we will be,ہم ہوں گے
binus,Adjective,two,دو
bison,Adjective,bison,بائسن
biuis,Adjective,two times,دو بار
bonus,Adjective,good,اچھا
brido,Verb,bridle,لگام
brigo,Verb,brig,بریگیڈیئر
bucar,Verb,bucar,بکار
bullo,Verb,boss,باس
caeco,Verb,blind,اندھا
caedo,Verb,slaughter,ذبح
caelo,Verb,in the sky,آسمان میں
caeno,Verb,mud,مٹی
caess,Adjective,kill,مار ڈالو
calco,Verb,kick,لات مارنا
caleo,Verb,hot,گرم
callo,Verb,callus,کالس
calvo,Verb,bald,گنجا
camur,Adjective,a mouse,ایک چوہا
canae,Adjective,gray hair,سرمئی بال
caneo,Verb,I sing,میں گاتا ہوں۔
canno,Verb,I can,میں کر سکتا ہوں
canto,Verb,I sing,میں گاتا ہوں۔
canuo,Verb,I am gray,میں سرمئی ہوں۔
canus,Adjective,old age,بڑھاپا
capax,Adjective,capable,قابل
caper,Verb,goat,بکری
capio,Verb,I take,میں لیتا ہوں۔
capso,Verb,box,باکس
capto,Verb,catch,پکڑنا
capys,Adjective,capys,ٹوپی
careo,Verb,I miss,مجھے یاد آتی ہے۔
carpa,Verb,carp,کارپ
carpo,Verb,wrist,کلائی
carro,Verb,by car,کار سے
carus,Adjective,dear,پیارے
casso,Verb,cash register,نقد رجسٹر
catta,Verb,cat,بلی
catus,Adjective,cat,بلی
cauis,Adjective,cave,غار
causo,Verb,cause,وجہ
cauus,Adjective,cave,غار
cavea,Verb,cage,پنجرا
caveo,Verb,I am careful,میں محتاط ہوں۔
cavus,Adjective,hollow,کھوکھلا
celer,Adjective,fast,تیز
celox,Adjective,the ship,جہاز
cenio,Verb,I am having dinner,میں رات کا کھانا کھا رہا ہوں۔
cerco,Verb,I'm looking,میں دیکھ رہا ہوں۔
cerno,Verb,I see,میں دیکھتا ہوں۔
certo,Verb,certainly,یقینی طور پر
cesso,Verb,I quit,میں نے چھوڑ دیا۔
ceveo,Verb,I'm waiting,میں انتظار کر رہا ہوں۔
chaer,Verb,cheer,خوشی
chalo,Verb,chalo,چلو
chius,Adjective,who,ڈبلیو ایچ او
cidus,Adjective,an acid,ایک تیزاب
cilio,Verb,eyelash,برونی
cillo,Verb,cillo,cillo
cinco,Verb,five,پانچ
cingo,Verb,belt,بیلٹ
circo,Verb,circus,سرکس
citer,Adjective,cither,cither
citus,Adjective,quick,جلدی
clamo,Verb,I cry,میں روتا ہوں۔
claro,Verb,clear,صاف
clavo,Verb,nail,کیل
clepo,Verb,lock,تالا
clino,Verb,slope,ڈھال
clodo,Verb,block,بلاک
cludo,Verb,transport,نقل و حمل
clueo,Verb,I'm clueless,میں بے خبر ہوں۔
cluor,Verb,I hear,میں سنتا ہوں۔
cnido,Verb,cnid,cnid
coaco,Verb,I cook,میں پکاتا ہوں۔
coago,Verb,I coerce,میں زبردستی کرتا ہوں۔
coalo,Verb,coal,کوئلہ
coaro,Verb,heart,دل
coaxo,Verb,coerced,زبردستی
codus,Adjective,code,کوڈ
