Latin Word,POS
assaro,Verb
assero,Verb
assido,Adjective
assolo,Verb
assono,Verb
assugo,Verb
assumo,Verb
assuus,Adjective
assyrn,Verb
astror,Verb
astruo,Verb
ategro,Verb
atheus,Adjective
aticus,Adjective
atomus,Adjective
atopto,Verb
atquor,Adjective
atscor,Verb
attage,Verb
attero,Verb
attexo,Verb
attigo,Verb
attono,Verb
attulo,Verb
atypus,Adjective
auarus,Adjective
auctus,Adjective
aucupo,Verb
audito,Verb
aufero,Verb
auguro,Verb
aureus,Adjective
aurigo,Verb
auroro,Verb
automo,Verb
autumo,Verb
avarus,Adjective
avctus,Verb
avehoo,Verb
avello,Verb
averio,Verb
averro,Verb
averso,Verb
averto,Verb
avidus,Adjective
avitus,Adjective
avorro,Verb
avorso,Verb
avorto,Verb
azymus,Adjective
baccho,Verb
badius,Adjective
badizo,Verb
baetus,Adjective
bajulo,Verb
balbus,Adjective
balito,Verb
bardus,Adjective
bassus,Adjective
battuo,Verb
baubor,Verb
baucus,Adjective
beatus,Adjective
bellax,Adjective
bellus,Adjective
beluus,Adjective
betizo,Verb
bibodo,Adjective
biceps,Adjective
biduus,Adjective
bignus,Adjective
bilobo,Verb
binoto,Verb
biplex,Adjective
bivius,Adjective
bladus,Adjective
blatto,Verb
blavus,Adjective
blitus,Verb
boatus,Verb
boleto,Verb
bombax,Adjective
bombus,Adjective
bombyx,Verb
boopis,Adjective
boreus,Adjective
borius,Adjective
borrus,Adjective
bostra,Adjective
botono,Verb
botryo,Verb
bovino,Verb
bracio,Verb
bracte,Adjective
bratus,Verb
bravio,Verb
bredus,Adjective
brengo,Verb
breuis,Adjective
brevio,Verb
brevis,Adjective
bromus,Adjective
brucus,Adjective
brunus,Adjective
brutus,Adjective
bubino,Verb
bublus,Adjective
bubulo,Verb
buccus,Adjective
bucino,Verb
bulimo,Verb
bullao,Verb
bundus,Verb
burrus,Adjective
bursus,Adjective
bustus,Verb
buvino,Verb
buxeus,Adjective
byrrus,Adjective
cacabo,Verb
caecus,Adjective
caelia,Adjective
caepas,Verb
caetro,Verb
cafeus,Adjective
calamo,Verb
calcar,Verb
calceo,Verb
calcio,Verb
caldus,Adjective
caleco,Verb
calico,Verb
caligo,Verb
calleo,Verb
callet,Verb
callis,Adjective
calveo,Verb
calvus,Adjective
camaro,Verb
cambio,Verb
camero,Verb
camino,Verb
campso,Verb
candeo,Verb
caneus,Adjective
cannus,Adjective
capito,Verb
capnio,Verb
capsus,Verb
captus,Adjective
capulo,Verb
carino,Verb
carisa,Adjective
carpis,Adjective
caruis,Adjective
cascus,Adjective
casina,Adjective
casito,Verb
cassus,Adjective
castro,Verb
castus,Adjective
cateno,Verb
catina,Adjective
causso,Verb
causus,Verb
cautus,Verb
celero,Verb
celsus,Adjective
celtis,Verb
celtus,Adjective
cenito,Verb
censeo,Verb
census,Adjective
centio,Verb
cephea,Adjective
cereus,Adjective
cernuo,Verb
cernus,Adjective
certor,Verb
certus,Adjective
cester,Adjective
cestus,Adjective
cetius,Adjective
chanus,Adjective
charus,Adjective
cherub,Adjective
chilia,Adjective
chobus,Adjective
choero,Verb
chorea,Adjective
chylus,Adjective
chymus,Adjective
ciccus,Adjective
cicuro,Verb
cillus,Adjective
cimico,Verb
ciprus,Adjective
circus,Adjective
cirror,Verb
citror,Verb
clamys,Verb
clango,Verb
clareo,Verb
clarus,Adjective
clatro,Verb
claudo,Verb
clauus,Adjective
clavao,Verb
clingo,Verb
clinis,Adjective
clipeo,Verb
clipio,Verb
clivis,Adjective
clivus,Adjective
cloaco,Verb
clodus,Adjective
cluden,Verb
cludus,Adjective
clueor,Verb
clunis,Adjective
clupea,Verb
clupeo,Verb
clusus,Adjective
clutus,Adjective
clypeo,Verb
cnecus,Adjective
cnemus,Adjective
coacto,Verb
coaddo,Verb
coapto,Verb
coarho,Verb
coarmo,Verb
coarto,Verb
coasso,Verb
coaxao,Verb
cocino,Verb
cocito,Verb
coctus,Adjective
coelis,Adjective
coepio,Verb
coepto,Verb
coerro,Verb
cogito,Verb
cogulo,Verb
coicio,Verb
coipio,Verb
coleor,Verb
coleum,Verb
coligo,Verb
collor,Verb
colluo,Verb
coloro,Verb
comedo,Verb
comiso,Verb
comito,Verb
commeo,Verb
commuo,Verb
compar,Verb
compis,Verb
compro,Verb
comtus,Adjective
concao,Verb
condux,Verb
confio,Verb
conflo,Verb
conigo,Verb
conito,Verb
conlor,Verb
conluo,Verb
conpeo,Verb
conpuo,Verb
conruo,Verb
consco,Verb
conseo,Verb
consto,Verb
consuo,Verb
consus,Verb
conteo,Verb
contro,Verb
contuo,Verb
conviv,Adjective
coopto,Verb
copais,Verb
copero,Verb
copulo,Verb
corban,Verb
cordes,Adjective
cordus,Adjective
coreus,Adjective
corono,Verb
corruo,Verb
cossus,Verb
cotylo,Adjective
craceo,Verb
crasso,Verb
creber,Adjective
creduo,Verb
crenus,Adjective
creper,Verb
cresco,Verb
cresso,Verb
cretao,Verb
cretus,Adjective
cribro,Verb
cridus,Adjective
crispo,Adjective
crisso,Verb
crisus,Adjective
crucio,Verb
crudus,Adjective
crusto,Verb
cubito,Verb
cucubo,Verb
cuculo,Verb
cuicul,Adjective
culcio,Verb
cultus,Verb
cumulo,Verb
cuncto,Verb
cuneus,Adjective
curago,Verb
curito,Verb
curius,Adjective
currax,Verb
cursio,Verb
curtus,Adjective
curuus,Verb
curvus,Adjective
cutina,Adjective
cyamus,Verb
cyanis,Adjective
cyprus,Adjective
dablum,Verb
dampno,Verb
dapino,Verb
dathio,Verb
daucus,Adjective
dealbo,Verb
deamus,Verb
dearmo,Verb
deauro,Verb
debibo,Verb
debrio,Verb
decano,Verb
decedo,Verb
decido,Verb
decima,Adjective
decimo,Verb
decoco,Verb
decogo,Verb
decolo,Verb
decoro,Verb
decubo,Verb
decumo,Verb
dedeco,Verb
dedico,Verb
dedolo,Verb
dedomo,Verb
deduco,Verb
deerro,Verb
defeco,Verb
defero,Verb
defico,Verb
defigo,Verb
defleo,Verb
defluo,Verb
defruo,Verb
defugo,Verb
degero,Verb
degulo,Verb
deguno,Verb
deicio,Verb
deiero,Verb
deifer,Adjective
deiuus,Adjective
deiuvo,Verb
dejero,Verb
dejugo,Verb
dejuro,Verb
dejuvo,Verb
delabo,Verb
delavo,Verb
deleco,Verb
delego,Verb
delero,Verb
delevo,Verb
delibo,Verb
delico,Verb
deligo,Verb
delimo,Verb
delino,Verb
deliro,Verb
delito,Verb
deludo,Verb
deluto,Verb
demano,Verb
demens,Adjective
demeto,Verb
demiro,Verb
demoro,Verb
demuto,Verb
denaso,Verb
denato,Verb
denego,Verb
denoto,Verb
denovo,Verb
denseo,Verb
densus,Adjective
denubo,Verb
denudo,Verb
deocco,Verb
deopto,Verb
deordo,Verb
depalo,Verb
depcio,Verb
depilo,Verb
depleo,Verb
depluo,Verb
depono,Verb
depsum,Verb
depudo,Verb
depuro,Verb
deputo,Verb
derado,Verb
derbeo,Verb
derepo,Verb
derido,Verb
derigo,Verb
derivo,Verb
derodo,Verb
derogo,Verb
derubo,Verb
derupo,Verb
deseco,Verb
desero,Verb
desico,Verb
desido,Verb
desino,Verb
desolo,Verb
despuo,Verb
desudo,Verb
desugo,Verb
desumo,Verb
detego,Verb
detero,Verb
detexo,Verb
detono,Verb
deuius,Verb
devago,Verb
deveho,Verb
develo,Verb
devexo,Verb
devito,Verb
devius,Adjective
devoco,Verb
devolo,Verb
devomo,Verb
devoro,Verb
devoto,Verb
dexter,Adjective
diabes,Verb
dialis,Adjective
dibalo,Verb
dicteo,Verb
diduco,Verb
difflo,Verb
digero,Verb
dignus,Adjective
dijugo,Verb
dilabo,Verb
dilato,Verb
dilaxo,Verb
dilido,Verb
diligo,Verb
dimano,Verb
dimeto,Verb
dimetr,Adjective
dimico,Verb
dinoto,Verb
dirado,Verb
diraro,Verb
dirigo,Verb
dirimo,Verb
dirivo,Verb
diruus,Verb
disamo,Verb
discus,Verb
dispar,Adjective
dispuo,Verb
dissuo,Verb
diurno,Verb
divexo,Verb
divido,Verb
divino,Verb
divise,Verb
doctus,Adjective
domino,Verb
domito,Verb
dorius,Adjective
dormeo,Verb
dorsor,Verb
dorsus,Adjective
dualis,Adjective
dubito,Verb
dubius,Adjective
duello,Verb
duerno,Verb
dulcis,Adjective
dunquo,Verb
duonus,Adjective
duplex,Adjective
duplus,Adjective
ebrius,Adjective
ebullo,Verb
ecaudo,Verb
ecfero,Verb
echino,Verb
echito,Verb
ecquor,Verb
edepol,Verb
edisco,Verb
edisso,Verb
editus,Adjective
edoceo,Verb
edulis,Adjective
edulus,Adjective
edurus,Adjective
effero,Verb
effleo,Verb
effluo,Verb
effugo,Verb
egenus,Adjective
eiulus,Adjective
eiurus,Verb
ejecto,Verb
ejicio,Verb
elater,Adjective
elatus,Adjective
elepho,Verb
elicio,Verb
elimus,Adjective
elingo,Verb
eliquo,Verb
elixir,Verb
elixus,Verb
elongo,Verb
eloquo,Verb
eluceo,Verb
elucto,Verb
elugeo,Verb
emaneo,Verb
emendo,Verb
emerco,Verb
emereo,Verb
emergo,Verb
emetus,Adjective
emiger,Verb
emigro,Verb
emineo,Verb
emitto,Verb
emolus,Adjective
emoneo,Verb
emorio,Verb
emoveo,Verb
emundo,Verb
emungo,Verb
emutus,Verb
enarro,Verb
enasco,Verb
enecus,Adjective
enervo,Verb
enicus,Adjective
eniteo,Verb
enodis,Adjective
enotus,Verb
entheo,Verb
ephyra,Adjective
epicus,Adjective
epotum,Verb
epotus,Adjective
epulor,Verb
equito,Verb
erctus,Verb
eremus,Adjective
ericus,Adjective
erilis,Adjective
eripio,Verb
erneus,Adjective
eructo,Verb
erumpo,Verb
escado,Verb
escari,Adjective
estimo,Verb
euhois,Adjective
euplis,Adjective
eurous,Adjective
evacuo,Verb
evagor,Verb
evanno,Verb
evanuo,Verb
evasto,Verb
evello,Verb
evenio,Verb
everro,Verb
everto,Verb
evexus,Verb
evinco,Verb
evisco,Verb
evolvo,Verb
evulgo,Verb
exacuo,Verb
exagio,Verb
exalbo,Adjective
exalto,Verb
exardo,Verb
exarmo,Verb
exatio,Verb
exbibo,Verb
excano,Verb
excavo,Verb
excedo,Verb
excido,Adjective
excieo,Verb
excito,Verb
excius,Verb
excolo,Verb
excors,Adjective
excreo,Verb
excubo,Verb
excudo,Verb
excuso,Verb
execro,Verb
execuo,Verb
exequo,Verb
exerro,Verb
exerto,Verb
exhalo,Verb
exhilo,Verb
exicco,Verb
exilis,Adjective
eximie,Adjective
eximus,Adjective
exinto,Verb
existo,Verb
exjuro,Verb
exolvo,Verb
exopto,Verb
exorno,Verb
exorto,Verb
exorus,Adjective
exosso,Verb
exosus,Adjective
expedo,Verb
expers,Adjective
expeto,Verb
expilo,Verb
expiro,Verb
expleo,Verb
expono,Verb
expuos,Verb
exsceo,Verb
exseco,Verb
exsero,Verb
exsico,Verb
exspuo,Verb
exsuco,Verb
exsudo,Verb
exsugo,Verb
exsulo,Verb
extruo,Verb
exulto,Verb
exundo,Verb
exurgo,Verb
fabius,Adjective
fabulo,Verb
facial,Adjective
faener,Adjective
faeteo,Verb
falcus,Verb
fallax,Adjective
falsus,Adjective
famulo,Verb
fandus,Adjective
fastus,Adjective
fateor,Verb
fatigo,Verb
fatuor,Adjective
fatuus,Adjective
februa,Adjective
femino,Adjective
fenero,Verb
feoffo,Verb
ferito,Verb
fermis,Adjective
fertus,Adjective
ferveo,Verb
fessus,Adjective
fester,Adjective
festum,Adjective
festus,Adjective
fetior,Verb
fibulo,Verb
fictus,Adjective
figuro,Verb
fingus,Verb
finito,Adjective
firmus,Adjective
fissus,Verb
flagro,Verb
flammo,Verb
flaveo,Verb
flavus,Adjective
flecto,Verb
floreo,Verb
fluito,Verb
flustr,Adjective
fluxus,Adjective
focilo,Verb
foculo,Verb
fodico,Verb
foedus,Adjective
foelix,Adjective
foeteo,Verb
foetus,Adjective
fordus,Adjective
forsum,Verb
fortax,Adjective
fortis,Adjective
fossus,Adjective
foveus,Adjective
fraceo,Verb
fraglo,Verb
fragro,Verb
frango,Verb
fraudo,Verb
frendo,Verb
frenus,Adjective
fretus,Adjective
fricor,Verb
fricus,Adjective
frigeo,Verb
friger,Verb
frisii,Adjective
frixus,Adjective
frusso,Verb
fulcer,Adjective
fulgeo,Verb
fulguo,Verb
fuligo,Verb
fultus,Adjective
fulvus,Adjective
fumeus,Adjective
fumigo,Verb
funebs,Adjective
funero,Verb
furvus,Adjective
fuscip,Adjective
fuscus,Adjective
fustum,Verb
gaesus,Verb
galben,Adjective
galbus,Adjective
gallus,Adjective
gammus,Adjective
ganeus,Adjective
gaudeo,Verb
gazelo,Verb
gemino,Verb
genero,Verb
gerbor,Adjective
gestum,Verb
gibber,Adjective
gibbus,Adjective
gilbus,Adjective
gilvus,Adjective
glaber,Adjective
glabro,Verb
glacio,Verb
glenus,Adjective
glisco,Verb
glorio,Verb
glosus,Adjective
glubeo,Verb
glutto,Verb
gnarus,Adjective
gnasco,Verb
gnauus,Adjective
gnomon,Verb
gnosco,Verb
gnosus,Adjective
gradio,Verb
gradus,Adjective
graeci,Adjective
graeco,Verb
grasso,Verb
gratus,Adjective
grauis,Adjective
grauus,Adjective
gravis,Adjective
grecus,Adjective
greuis,Adjective
grosus,Adjective
grumus,Verb
grunda,Adjective
grutus,Verb
guttur,Verb
habeno,Verb
habito,Verb
haemus,Verb
haereo,Verb
haimus,Adjective
haleti,Verb
halito,Verb
hapsis,Verb
hareno,Verb
harpax,Adjective
haunta,Verb
hcatto,Verb
hebeto,Verb
hebrus,Adjective
hejulo,Verb
helluo,Adjective
helxen,Verb
herous,Adjective
hierus,Adjective
hilaro,Verb
hirtus,Adjective
honoro,Verb
hornus,Adjective
horreo,Verb
horsus,Verb
hortor,Verb
humano,Verb
humeus,Adjective
hyosor,Verb
iambus,Adjective
iberis,Verb
ibilis,Adjective
idalis,Adjective
idimus,Verb
ieiuno,Verb
ientus,Verb
ificus,Verb
igneus,Adjective
ignoro,Verb
illabo,Verb
illcio,Verb
illeco,Verb
illido,Verb
illigo,Verb
illino,Verb
illudo,Verb
imbibo,Verb
imbito,Verb
immero,Verb
immiso,Verb
immolo,Verb
immuto,Verb
impaco,Verb
impero,Verb
impeto,Verb
impius,Adjective
impleo,Verb
impluo,Verb
impolo,Verb
impono,Verb
impueb,Adjective
impuro,Verb
imputo,Verb
inalbo,Verb
inanis,Adjective
inargo,Verb
inarus,Adjective
inatus,Verb
inauer,Adjective
inauro,Verb
inbibo,Verb
inbito,Verb
incaro,Verb
incauo,Verb
incedo,Verb
incero,Verb
inchoo,Verb
incido,Verb
incilo,Verb
incino,Verb
incito,Verb
incoho,Verb
incolo,Verb
incubo,Verb
incudo,Verb
incuro,Verb
incuso,Verb
indago,Verb
indico,Verb
indigo,Verb
indolo,Verb
induco,Verb
induro,Adjective
inedio,Verb
inedis,Adjective
inerro,Verb
inesco,Verb
infamo,Adjective
infeco,Verb
infero,Verb
infieo,Verb
infigo,Verb
infimo,Verb
influo,Adjective
infreo,Verb
infrio,Verb
infulo,Verb
infumo,Verb
ingemo,Verb
ingeno,Verb
ingens,Adjective
ingero,Verb
ingruo,Verb
inguen,Adjective
inhalo,Verb
inhumo,Verb
inicio,Verb
iniior,Verb
initio,Verb
iniugo,Verb
iniuro,Verb
injuro,Verb
inlabo,Verb
inlago,Verb
inlego,Verb
inlido,Adjective
inligo,Verb
inlino,Verb
inludo,Verb
innato,Verb
inncio,Verb
innito,Verb
innoco,Verb
innovo,Verb
innubo,Verb
inodio,Verb
inorno,Verb
inparo,Verb
inpero,Verb
inpeto,Verb
inpius,Adjective
inpleo,Verb
inpono,Verb
inquam,Verb
inrepo,Verb
inrigo,Verb
inrogo,Verb
inrumo,Verb
inruus,Verb
inscio,Verb
inscus,Adjective
inseco,Verb
insero,Verb
insido,Verb
insipo,Verb
insito,Verb
insolo,Verb
insono,Verb
insons,Adjective
inspuo,Verb
instus,Adjective
insudo,Verb
insumo,Verb
insupo,Verb
insuus,Adjective
intego,Verb
inteno,Verb
intexo,Verb
intimo,Verb
intono,Verb
intueo,Verb
intuor,Verb
inundo,Verb
inungo,Verb
inuoco,Verb
inurus,Adjective
invado,Verb
inveho,Verb
invise,Verb
inviso,Verb
invito,Verb
invius,Adjective
invoco,Verb
involo,Verb
irasco,Verb
iratus,Adjective
irinus,Adjective
ironia,Adjective
irremo,Verb
irrepo,Verb
irrigo,Verb
irrimo,Verb
irrito,Verb
irrogo,Verb
irroro,Verb
irrumo,Verb
irruus,Adjective
italus,Adjective
iterus,Verb
iudico,Verb
iuncus,Adjective
iussum,Verb
iussus,Verb
iustus,Adjective
jaculo,Verb
jamjam,Verb
jejuno,Verb
joculo,Verb
jubilo,Verb
judico,Verb
jugulo,Verb
julius,Adjective
junius,Adjective
jussus,Verb
justus,Adjective
juveno,Verb
kapium,Adjective
laboro,Verb
laccor,Verb
lacero,Verb
laches,Adjective
lacuno,Verb
laeter,Adjective
laetus,Adjective
laevus,Adjective
laicus,Adjective
lainus,Adjective
lanceo,Verb
laneus,Adjective
langus,Adjective
lapido,Verb
lappas,Verb
laqueo,Verb
largus,Adjective
lassus,Verb
lateps,Adjective
latido,Verb
latino,Verb
latior,Verb
latito,Verb
latius,Adjective
latmus,Adjective
latrao,Verb
laureo,Verb
lautus,Adjective
lectio,Verb
lectus,Adjective
leinus,Adjective
lembus,Verb
lendus,Adjective
lentus,Adjective
leptus,Adjective
leugus,Adjective
leuius,Adjective
levigo,Verb
libero,Verb
liceor,Verb
ligula,Adjective
limbor,Verb
limino,Verb
limito,Verb
limono,Verb
linear,Adjective
lineus,Adjective
lingus,Verb
linquo,Verb
lippus,Adjective
liqueo,Verb
liquis,Adjective
litigo,Verb
livido,Verb
longus,Adjective
loquax,Adjective
loquor,Verb
loquus,Adjective
loreus,Adjective
luceus,Verb
lucido,Verb
lucuns,Verb
lumino,Verb
lunulo,Verb
lurcho,Verb
lurdus,Adjective
lurius,Adjective
luscus,Adjective
lusito,Verb
lustro,Verb
luteus,Adjective
lutito,Verb
lutrus,Adjective
lycius,Adjective
lympho,Verb
macero,Verb
maceus,Verb
mactus,Verb
maculo,Verb
maenus,Adjective
maereo,Verb
maesto,Verb
magnus,Adjective
magudo,Verb
majuma,Adjective
malleo,Verb
maltha,Adjective
malvus,Adjective
mancus,Adjective
manico,Verb
mantus,Adjective
marceo,Adjective
marito,Verb
marius,Adjective
marmus,Adjective
mattea,Adjective
maturo,Verb
matuto,Adjective
meddix,Verb
medeor,Verb
medico,Verb
medito,Verb
medius,Adjective
memini,Verb
memoro,Verb
mercor,Verb
mereor,Verb
mersus,Verb
metior,Adjective
metris,Adjective
migrus,Adjective
milito,Verb
miluus,Adjective
mingus,Verb
minito,Verb
minius,Adjective
minoro,Verb
minyas,Adjective
mirium,Adjective
misceo,Verb
misero,Verb
mistus,Adjective
mitigo,Verb
mitror,Verb
modero,Verb
modulo,Verb
moecho,Verb
moereo,Verb
moesto,Verb
mollis,Verb
moneto,Verb
mordeo,Verb
mordex,Adjective
morior,Verb
moruni,Adjective
muceum,Verb
mugino,Verb
mulceo,Verb
mulcto,Verb
mulgeo,Verb
mulsum,Verb
multus,Adjective
mundus,Adjective
munero,Verb
murcia,Adjective
murico,Verb
murmur,Verb
musimo,Verb
musino,Verb
mustus,Adjective
mutilo,Verb
muttus,Verb
mutuor,Adjective
mutuus,Adjective
nablis,Adjective
naccas,Adjective
nascor,Verb
nascus,Verb
naturo,Verb
naucus,Adjective
nauseo,Verb
nausio,Verb
navigo,Verb
nectus,Adjective
negito,Verb
neopus,Adjective
nepeet,Verb
neptus,Adjective
nequam,Adjective
nequeo,Verb
nequus,Adjective
nersus,Adjective
nescio,Verb
nestus,Adjective
netius,Adjective
nictum,Verb
nigreo,Verb
nigror,Verb
nimius,Adjective
ningeo,Verb
ninguo,Verb
ningus,Verb
niteus,Verb
niveus,Adjective
nocuus,Adjective
noemus,Verb
noerus,Adjective
nomino,Verb
normus,Adjective
noscus,Verb
noster,Adjective
nostus,Adjective
noteus,Adjective
nothus,Adjective
novana,Adjective
noxius,Adjective
nullus,Adjective
numero,Verb
numida,Adjective
nuncio,Verb
nuntio,Verb
obacer,Verb
obaero,Verb
obarmo,Verb
obatro,Verb
obduco,Verb
obduro,Verb
obequo,Verb
oberro,Verb
obesus,Adjective
obgero,Verb
obicio,Verb
obleco,Verb
oblido,Verb
obligo,Verb
oblimo,Adjective
oblino,Verb
obnito,Verb
obnubo,Verb
oboleo,Verb
obolus,Adjective
oborus,Adjective
obovao,Verb
obrepo,Verb
obrogo,Verb
obseco,Verb
obsero,Verb
obsido,Verb
obsono,Verb
obtego,Verb
obtero,Verb
obtexo,Verb
obturo,Verb
obuius,Verb
obvius,Adjective
occano,Verb
occedo,Verb
occido,Verb
occino,Verb
occubo,Verb
occulo,Verb
occupo,Verb
occuro,Verb
ocimus,Adjective
ocreus,Adjective
octies,Adjective
odorus,Adjective
offero,Verb
offigo,Verb
offoco,Verb
offuco,Verb
oggero,Verb
oletus,Verb
olidus,Adjective
omalis,Adjective
omasus,Adjective
omelis,Adjective
omilis,Adjective
omitto,Verb
onatas,Verb
opacus,Adjective
operio,Verb
operor,Verb
opetum,Verb
opicus,Adjective
opifer,Adjective
opimus,Adjective
opinor,Verb
oppedo,Verb
oppeto,Verb
oppilo,Verb
oppleo,Verb
oppono,Verb
oprepo,Verb
opsono,Verb
optimo,Adjective
optuma,Adjective
opuleo,Verb
oralis,Adjective
oratis,Verb
ordino,Verb
orexis,Verb
oritis,Verb
oscito,Verb
osculo,Verb
osseus,Adjective
ostigo,Verb
ostrya,Adjective
ovaior,Verb
ovalis,Adjective
ovilis,Adjective
ovinus,Adjective
oxalis,Adjective
oxidus,Adjective
pabulo,Verb
pactum,Verb
pactus,Adjective
paetus,Adjective
pagino,Verb
palleo,Verb
pallio,Verb
pallor,Verb
palmor,Verb
pandus,Adjective
pangum,Verb
pansum,Verb
parcus,Adjective
parens,Verb
parito,Verb
parius,Adjective
partus,Adjective
paruus,Adjective
parvus,Adjective
passeo,Verb
passus,Adjective
patino,Verb
patior,Verb
patmos,Adjective
paucus,Adjective
paueus,Verb
paulus,Adjective
pauper,Adjective
pavito,Verb
pedico,Verb
pedius,Adjective
pegado,Verb
peioro,Verb
peiuro,Verb
pejero,Verb
pejuro,Verb
pelens,Verb
pellax,Adjective
peltor,Verb
pendeo,Verb
peneus,Adjective
pensus,Verb
perago,Verb
peramo,Verb
peraro,Verb
perdio,Verb
perduo,Verb
