Latin Word,POS,English Meaning,Urdu Meaning
larus,Adjective,,
larvo,Verb,,
lasso,Verb,,
lateo,Adjective,,
latro,Verb,,
latus,Adjective,,
laudo,Verb,,
laver,Verb,,
lavus,Adjective,,
laxus,Adjective,,
lenis,Adjective,,
lento,Verb,,
lenus,Adjective,,
leono,Verb,,
letus,Adjective,,
leuis,Adjective,,
leuus,Adjective,,
levis,Adjective,,
lexlo,Verb,,
libeo,Verb,,
liber,Adjective,,
libet,Verb,,
libro,Verb,,
liceo,Verb,,
licet,Verb,,
liger,Adjective,,
ligno,Verb,,
limus,Adjective,,
lineo,Verb,,
lingo,Verb,,
liquo,Verb,,
liror,Verb,,
lirus,Adjective,,
liveo,Verb,,
loquo,Verb,,
lotus,Verb,,
lubeo,Verb,,
luceo,Verb,,
lucro,Verb,,
lucto,Verb,,
lugeo,Verb,,
lumbo,Verb,,
lunus,Adjective,,
lurco,Verb,,
lyrao,Verb,,
lysus,Adjective,,
lyter,Adjective,,
macer,Adjective,,
macor,Verb,,
macto,Verb,,
madeo,Verb,,
mador,Verb,,
magus,Adjective,,
maius,Adjective,,
malus,Adjective,,
mammo,Verb,,
mando,Verb,,
maneo,Verb,,
manor,Adjective,,
marco,Verb,,
marlo,Verb,,
maumo,Verb,,
meamo,Verb,,
medeo,Verb,,
medio,Verb,,
medix,Adjective,,
megor,Verb,,
meius,Adjective,,
melca,Adjective,,
mello,Verb,,
memor,Adjective,,
merco,Verb,,
mereo,Verb,,
mergo,Verb,,
merso,Verb,,
merus,Adjective,,
metuo,Verb,,
micus,Verb,,
migro,Verb,,
milio,Verb,,
mimus,Adjective,,
minax,Adjective,,
mineo,Verb,,
mingo,Verb,,
minio,Verb,,
minuo,Verb,,
miror,Verb,,
mirus,Adjective,,
miser,Adjective,,
misno,Verb,,
mitis,Adjective,,
mitto,Verb,,
moder,Verb,,
molis,Adjective,,
molto,Verb,,
moneo,Verb,,
morio,Verb,,
moror,Verb,,
morus,Adjective,,
mosus,Adjective,,
moueo,Verb,,
moveo,Verb,,
mulco,Verb,,
mulgo,Verb,,
mulho,Verb,,
multo,Verb,,
mundo,Verb,,
munis,Adjective,,
muror,Verb,,
murro,Verb,,
murto,Verb,,
museo,Verb,,
musso,Verb,,
mutuo,Verb,,
mutus,Adjective,,
myxus,Verb,,
nabla,Verb,,
nanus,Adjective,,
narro,Verb,,
narto,Verb,,
nasco,Verb,,
nasto,Verb,,
natus,Adjective,,
nauus,Verb,,
navus,Adjective,,
necne,Verb,,
necto,Verb,,
necus,Adjective,,
nefro,Verb,,
nelia,Adjective,,
nemus,Verb,,
neono,Verb,,
nicto,Verb,,
niger,Adjective,,
nigro,Verb,,
nimus,Adjective,,
ningo,Verb,,
niteo,Verb,,
nixus,Verb,,
noceo,Verb,,
noega,Adjective,,
nonus,Adjective,,
nosco,Verb,,
noteo,Verb,,
notus,Adjective,,
nouus,Adjective,,
novio,Verb,,
novus,Adjective,,
nudus,Adjective,,
nummo,Verb,,
numna,Adjective,,
nutus,Verb,,
oasus,Adjective,,
obaro,Verb,,
obedo,Verb,,
obruo,Verb,,
obsto,Adjective,,
obsum,Verb,,
obsuo,Verb,,
obvio,Verb,,
ocrea,Adjective,,
ocreo,Verb,,
odoro,Verb,,
offex,Verb,,
oicus,Adjective,,
ollus,Adjective,,
omino,Verb,,
omnis,Adjective,,
onero,Verb,,
opaco,Verb,,
opero,Verb,,
opino,Verb,,
opior,Verb,,
opipo,Verb,,
orbus,Adjective,,
ordio,Verb,,
ordus,Verb,,
oreus,Adjective,,
oribo,Verb,,
origo,Verb,,
orior,Verb,,
ornus,Verb,,
ortus,Adjective,,
ortyx,Verb,,
oscen,Verb,,
oscio,Verb,,
oscus,Adjective,,
osmis,Adjective,,
osset,Verb,,
ossus,Verb,,
oxydo,Verb,,
pacid,Adjective,,
pagra,Adjective,,
pales,Adjective,,
palpo,Verb,,
panax,Adjective,,
pando,Verb,,
pango,Verb,,
pappo,Verb,,
parco,Verb,,
pareo,Verb,,
pario,Verb,,
parmo,Verb,,
parus,Adjective,,
pasco,Verb,,
pateo,Verb,,
patio,Verb,,
patro,Verb,,
pauso,Verb,,
pauus,Adjective,,
paveo,Verb,,
pavio,Verb,,
pchrn,Adjective,,
pecco,Verb,,
pecto,Verb,,
pejer,Verb,,
pelax,Adjective,,
pello,Verb,,
pendo,Verb,,
penes,Verb,,
penno,Verb,,
penso,Verb,,
penus,Adjective,,
perca,Verb,,
perdo,Verb,,
pereo,Verb,,
pergo,Verb,,
perio,Verb,,
perla,Verb,,
perpo,Verb,,
petax,Verb,,
phera,Adjective,,
phoda,Adjective,,
phyma,Adjective,,
picum,Adjective,,
picus,Adjective,,
pigeo,Verb,,
piger,Adjective,,
pigro,Verb,,
pilar,Adjective,,
pinax,Adjective,,
pingo,Verb,,
pinso,Verb,,
pipio,Verb,,
pisco,Verb,,
pisus,Adjective,,
placo,Verb,,
plago,Verb,,
pleco,Verb,,
plico,Verb,,
plodo,Verb,,
ploro,Verb,,
pluus,Adjective,,
pneio,Verb,,
pnigo,Verb,,
polus,Adjective,,
pompo,Verb,,
porod,Verb,,
porto,Verb,,
posco,Verb,,
potio,Verb,,
potis,Adjective,,
potus,Verb,,
pravo,Verb,,
preco,Verb,,
preho,Verb,,
premo,Verb,,
prior,Adjective,,
privo,Verb,,
probo,Verb,,
proco,Verb,,
prodo,Verb,,
profo,Verb,,
proin,Verb,,
prolo,Verb,,
promo,Verb,,
proto,Verb,,
psalo,Verb,,
pudeo,Verb,,
pugno,Verb,,
pullo,Verb,,
pulso,Verb,,
pulto,Verb,,
pungo,Verb,,
punus,Adjective,,
purgo,Verb,,
purus,Adjective,,
puteo,Verb,,
putro,Verb,,
putus,Verb,,
quadr,Adjective,,
quero,Verb,,
quiro,Verb,,
quoti,Adjective,,
rabio,Verb,,
radio,Verb,,
radus,Verb,,
ranco,Adjective,,
rapax,Adjective,,
